SMILES,Activity_type,Activity_value,Activity_unit
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(cc1)[C@@H](O)CO)(C(=O)NO)S(C)(=O)=O,IC50,0.000100,nM
CC(C)c1cc(ccn1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccncc1C(F)(F)F)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
CC(C)(O)c1ccc(cc1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@H](O)Cc1ccc(cn1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COc1ccc(cn1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(c(F)c1)-c1ccc(CC#N)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
CCc1ccc(C2=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C2)c(F)c1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1F)-c1ccncc1F)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(c(F)c1)-c1ccncc1F)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@H](O)Cc1cc(F)c(c(F)c1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@H](O)Cc1ccc(c(F)c1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(c(F)c1)-c1ccc(cc1)-c1nn[nH]n1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
COc1ccc(c(C)c1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
[H][C@]1(C[C@](C)(C(=O)NO)S(C)(=O)=O)CC(=NO1)c1ccc(cc1F)C#CC,IC50,0.00100,nM
C[C@@H](O)Cc1ccc(cc1)-c1c(F)cc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@H](O)Cc1ccc(cc1)-c1ccc(cc1C)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
